Ticker,1D_Price,1D_MACD_Black,1D_MACD_Red,1D_RSI_2,1D_RSI_14,1D_Stoch_K_Black,1D_Stoch_D_Red,1D_NVI_Black,1D_NVI_Red,15m_Price,15m_MACD_Black,15m_MACD_Red,15m_RSI_2,15m_RSI_14,15m_Stoch_K_Black,15m_Stoch_D_Red,15m_NVI_Black,15m_NVI_Red
CAMS.NS,738.4,12.86,1.37,89.29,66.59,95.58,94.72,28.39,31.59,737.8,2.79,2.34,28.48,66.27,92.11,97.37,113.71,109.97
CONCORDBIO.NS,1037.4,-31.22,-36.48,14.76,37.75,69.28,78.8,22.32,35.38,1037.3,-2.01,-1.88,6.59,39.0,9.49,16.29,94.89,94.43
CONCOR.NS,502.25,3.98,-4.08,96.96,64.91,98.92,98.92,80.63,80.02,502.25,2.5,2.39,87.7,70.33,87.46,71.7,102.01,99.12
COROMANDEL.NS,2077.8,-1.59,-28.85,21.96,52.17,78.4,87.1,66.68,79.23,2082.0,-3.43,-4.1,81.6,47.25,69.26,55.81,96.15,97.45
CRAFTSMAN.NS,7512.5,25.46,-73.02,93.08,59.15,98.66,98.71,49.17,56.96,7524.0,18.18,14.47,81.67,64.73,82.54,76.48,97.33,96.78
CREDITACC.NS,1238.7,3.53,-6.9,84.52,56.6,93.5,90.66,25.94,38.4,1244.0,-1.75,-2.47,98.48,58.87,87.55,55.74,90.68,92.63
CROMPTON.NS,260.97,-0.27,-2.94,92.48,61.64,90.21,83.55,87.22,83.8,261.5,2.9,2.72,93.89,75.26,77.02,74.78,97.97,97.39
CUMMINSIND.NS,5038.2,105.95,65.85,68.47,61.47,71.64,80.37,139.71,142.55,5038.2,2.81,-5.52,98.36,62.9,100.0,99.67,102.48,99.48
CYIENT.NS,967.3,2.77,-22.56,92.56,64.52,97.22,97.22,30.49,36.62,966.5,2.96,2.26,39.85,59.47,84.74,83.66,102.42,101.75
DCMSHRIRAM.NS,1185.0,22.82,14.6,95.67,65.29,85.02,69.21,20.32,26.65,1185.0,0.15,5.02,4.05,39.55,1.86,2.76,100.48,100.71
DLF.NS,589.7,-1.37,-11.88,93.68,59.06,97.96,95.63,155.94,145.81,590.0,1.48,1.35,26.38,59.05,85.75,91.36,98.94,97.67
DOMS.NS,2383.1,34.19,20.49,45.19,56.76,74.02,82.65,43.64,55.39,2383.1,-0.99,-1.75,17.95,47.68,84.16,89.18,95.31,95.22
DABUR.NS,427.55,-12.65,-16.56,39.8,42.07,88.47,91.34,84.08,98.79,427.8,-1.22,-0.96,18.03,34.73,25.12,24.01,100.52,98.72
DALBHARAT.NS,1974.7,2.6,-22.88,78.16,56.35,97.48,96.97,63.42,69.36,1974.7,2.09,0.63,33.86,55.56,66.07,78.7,100.74,101.13
DATAPATTNS.NS,3490.5,77.39,55.87,90.44,63.07,94.73,86.78,18.86,23.77,3505.1,7.2,2.73,98.44,65.81,99.44,92.94,95.6,92.21
DEEPAKFERT.NS,1198.65,41.9,11.84,81.08,69.28,94.81,96.32,35.09,47.6,1199.1,5.35,6.0,76.44,59.83,82.76,84.23,92.88,96.58
DEEPAKNTR.NS,1533.7,-1.47,-28.63,99.83,62.46,100.0,100.0,44.84,53.46,1532.5,4.74,2.51,43.03,65.99,94.04,98.01,92.57,93.2
DELHIVERY.NS,459.75,11.41,7.65,26.03,61.48,75.13,85.47,53.86,61.55,459.0,-0.07,-0.44,17.77,48.49,67.65,81.52,90.02,91.32
DEVYANI.NS,108.68,-2.6,-4.46,79.74,51.07,94.64,94.37,20.09,33.41,108.6,0.25,0.14,42.09,59.39,77.73,88.69,90.21,91.3
DIVISLAB.NS,6293.5,-18.19,-61.66,94.12,61.86,95.57,94.8,83.36,91.69,6295.0,27.34,30.0,25.19,66.49,40.81,54.92,103.58,100.48
DIXON.NS,11287.0,79.58,-67.76,92.03,60.67,93.87,93.75,104.48,115.68,11280.5,62.62,66.11,36.89,65.35,73.87,69.52,107.39,106.57
LALPATHLAB.NS,1410.8,9.29,-2.88,49.17,57.74,83.71,88.72,53.26,60.69,1410.8,-3.71,-4.29,92.39,46.65,100.0,89.42,90.57,93.25
DRREDDY.NS,1221.4,-16.82,-14.73,46.47,43.81,48.77,49.64,100.74,99.23,1220.8,0.8,1.02,7.93,46.88,16.29,49.63,96.54,96.75
EIDPARRY.NS,852.5,2.79,-7.34,38.96,55.1,93.78,96.67,60.32,68.66,853.0,-1.78,-2.45,58.27,47.37,78.78,82.28,98.32,97.96
EIHOTEL.NS,319.8,-1.52,-5.21,89.54,56.13,97.0,97.0,50.94,60.25,318.45,1.33,1.14,10.35,57.56,63.89,85.3,99.31,98.35
EICHERMOT.NS,7131.0,-48.16,-118.06,49.94,51.16,67.29,77.54,99.03,86.88,7131.0,6.94,-1.19,83.62,62.67,97.74,98.87,99.22,98.19
ELECON.NS,406.25,2.34,-2.05,12.14,51.81,76.83,83.84,40.0,57.5,406.05,-2.17,-2.74,15.97,39.77,69.25,80.65,96.88,96.69
ELGIEQUIP.NS,541.65,7.96,0.83,99.94,68.94,100.0,100.0,17.74,23.82,540.0,2.27,3.1,1.16,50.99,0.0,1.48,109.65,106.26
EMAMILTD.NS,425.5,-6.62,-12.18,97.65,50.83,99.83,99.83,47.57,59.43,426.0,-0.28,-0.73,98.03,54.67,100.0,95.85,101.06,98.51
EMCURE.NS,1639.0,35.84,28.88,68.42,62.04,75.58,70.52,67.08,78.65,1640.0,-0.12,-2.68,65.08,57.28,92.9,95.56,113.01,109.47
ENDURANCE.NS,2384.2,-13.38,-37.95,37.14,51.65,86.46,91.68,37.65,51.55,2385.0,-4.06,-4.02,48.7,44.24,43.32,61.92,105.54,103.72
ENGINERSIN.NS,228.32,6.11,2.53,99.42,67.86,100.0,100.0,16.44,21.99,228.0,1.72,1.7,25.34,59.61,58.17,67.42,99.43,98.0
ERIS.NS,1465.5,18.01,-1.3,99.46,69.63,100.0,100.0,52.54,59.12,1467.0,4.55,5.57,76.18,64.36,78.42,71.23,96.36,95.58
ESCORTS.NS,3282.2,-23.12,-86.03,88.5,57.78,95.63,95.63,43.49,58.47,3286.1,9.97,12.29,98.47,66.59,56.33,28.83,101.32,99.08
ETERNAL.NS,252.7,-0.65,-3.85,89.55,57.81,88.43,82.0,117.94,110.0,252.99,1.46,1.38,93.59,67.63,99.4,95.78,98.05,100.53
EXIDEIND.NS,331.4,2.02,-2.91,96.5,61.59,100.0,99.06,69.57,69.82,331.95,0.37,-0.01,94.33,66.17,99.03,96.49,97.18,97.38
NYKAA.NS,262.61,2.13,-0.7,85.13,60.31,96.52,96.52,64.59,65.79,262.5,0.3,0.25,27.49,54.12,74.23,81.45,107.03,104.55
FEDERALBNK.NS,284.4,2.61,-0.1,26.34,55.66,82.56,90.03,114.21,112.48,283.85,-0.68,-1.0,26.25,44.83,85.49,93.06,104.21,103.29
FACT.NS,871.9,20.52,11.19,90.01,62.61,96.53,95.65,3.11,7.69,870.0,1.08,1.79,10.73,45.54,24.58,29.07,96.56,96.27
FINCABLES.NS,913.55,6.94,-1.31,98.84,63.04,97.33,94.48,22.98,29.93,917.0,5.42,6.43,98.05,69.36,73.74,48.15,108.01,106.67
FSL.NS,244.22,-2.16,-5.79,94.72,60.31,81.81,76.12,38.27,52.75,241.99,2.69,4.11,6.48,48.26,4.32,15.07,88.46,91.02
FIVESTAR.NS,459.7,9.5,-3.77,93.05,68.33,96.96,96.96,34.6,45.09,460.05,2.94,3.08,60.55,66.99,94.06,90.82,96.06,94.59
FORCEMOT.NS,22538.0,112.19,-130.27,73.96,54.86,89.9,91.77,44.16,57.51,22522.0,23.92,-22.45,31.5,56.98,88.05,94.78,98.5,96.46
FORTIS.NS,873.9,-2.03,-11.84,79.59,57.69,98.37,98.74,58.31,63.51,874.0,0.31,-0.54,73.33,60.06,98.46,93.15,95.25,94.77
GAIL.NS,158.92,0.47,-2.08,96.56,62.86,99.33,98.73,89.98,88.12,158.92,0.47,0.43,81.98,65.26,94.1,75.21,103.73,101.01
GVT&D.NS,4074.2,111.91,74.38,49.31,61.97,94.67,98.22,71.96,69.93,4070.0,-7.13,-9.56,9.93,42.88,53.49,60.99,109.75,106.17
GMRAIRPORT.NS,96.75,0.59,-0.63,47.79,55.79,90.51,92.77,67.43,92.26,96.75,-0.31,-0.35,35.68,41.8,81.62,83.74,91.74,93.86
GABRIEL.NS,996.95,12.36,-4.62,96.13,65.19,98.01,96.69,28.59,33.86,997.55,7.65,6.61,60.05,67.74,89.27,94.82,104.28,103.68
GALLANTT.NS,927.1,60.28,27.41,99.38,89.15,98.1,94.19,61.85,88.22,889.7,32.99,36.06,19.09,58.76,15.11,19.81,104.35,104.57
GRSE.NS,2607.8,48.43,0.52,93.76,62.3,98.87,98.87,8.09,15.29,2609.0,6.23,4.47,98.47,62.57,100.0,93.53,82.44,85.7
GICRE.NS,400.05,6.57,3.2,77.38,63.41,86.71,88.73,12.44,16.54,400.0,-0.68,0.38,8.43,40.21,4.64,10.89,91.99,94.06
GILLETTE.NS,7840.5,-97.81,-145.81,90.69,51.21,98.84,97.63,55.64,65.51,7858.0,2.97,7.03,70.61,52.31,37.96,32.82,97.6,96.09
GLAND.NS,1735.6,5.69,-4.59,41.95,53.44,82.14,87.73,40.34,43.79,1735.6,-2.18,-2.64,81.69,46.46,54.08,45.17,90.03,91.22
GLAXO.NS,2419.8,-17.72,-34.52,84.03,53.11,98.26,98.84,27.02,34.35,2413.7,2.38,1.0,23.27,52.88,83.76,92.41,103.24,100.5
GLENMARK.NS,2249.5,28.87,19.52,80.78,61.95,97.39,91.74,87.59,91.26,2244.7,2.01,1.99,12.96,50.43,74.39,89.54,102.23,101.68
MEDANTA.NS,1092.25,-2.31,-16.23,92.12,58.44,98.81,98.13,100.62,108.56,1090.5,2.79,2.14,11.83,53.74,63.82,83.05,91.52,91.89
GODIGIT.NS,319.05,-2.96,-2.56,30.68,42.03,24.42,21.58,37.94,47.07,319.05,-0.38,-0.27,23.33,42.49,39.62,33.67,95.41,95.93
GPIL.NS,300.3,9.86,6.92,71.16,67.19,93.75,97.4,31.12,44.71,300.0,-0.49,-0.33,40.28,46.04,71.67,55.47,95.36,95.73
GODFRYPHLP.NS,2124.9,1.15,-26.5,82.53,56.85,91.83,92.4,5.06,11.88,2128.0,6.89,6.72,53.21,58.34,60.34,67.62,90.52,94.08
GODREJCP.NS,1081.15,-10.44,-24.45,63.14,52.99,94.1,93.89,80.64,84.51,1081.15,-0.62,-0.63,35.31,48.28,69.78,70.69,104.34,101.74
GODREJIND.NS,919.2,-3.98,-21.18,94.66,58.61,99.25,98.59,31.46,37.43,919.2,2.0,1.51,58.81,59.77,82.59,87.37,93.19,94.28
GODREJPROP.NS,1747.4,13.78,-16.69,91.34,61.24,98.56,98.25,42.19,44.65,1747.4,3.99,3.45,22.47,56.39,79.45,89.67,114.97,111.89
GRANULES.NS,651.0,16.66,14.27,79.28,63.82,82.81,72.74,65.73,80.84,650.15,1.07,0.37,74.34,59.92,95.12,97.38,93.55,94.73
GRAPHITE.NS,681.95,4.36,-2.93,97.6,61.13,97.72,95.9,12.37,18.73,683.0,4.16,3.57,92.83,65.9,88.35,81.53,98.67,97.45
GRASIM.NS,2717.3,-1.13,-22.38,37.11,52.4,85.37,88.59,78.19,81.36,2717.3,-5.2,-6.55,24.06,43.73,78.64,85.38,110.12,106.6
GRAVITA.NS,1669.0,20.3,-19.35,99.14,67.96,99.73,99.73,39.62,47.86,1672.0,11.54,11.37,87.2,70.57,94.84,82.74,96.11,95.42
GESHIP.NS,1381.4,6.51,17.87,50.36,49.15,28.47,15.18,40.4,50.64,1386.0,-2.31,-2.26,88.6,51.02,77.93,59.47,94.6,95.78
FLUOROCHEM.NS,3376.7,23.65,-6.0,86.16,58.18,99.2,99.03,62.76,62.69,3363.0,-0.26,-1.01,19.16,46.49,72.8,76.41,94.58,94.52
GMDCLTD.NS,746.75,25.19,12.15,99.83,82.47,100.0,99.29,12.45,20.78,746.75,20.6,22.95,99.22,85.08,100.0,94.24,96.85,99.44
GSPL.NS,252.29,-9.66,-12.71,91.49,48.72,95.21,94.91,57.41,59.57,253.8,1.75,0.67,99.98,87.54,100.0,99.27,109.02,104.77
HEG.NS,626.85,15.82,6.41,98.97,68.97,94.94,88.2,13.21,20.95,628.45,7.85,7.56,85.03,72.67,39.37,36.57,84.97,88.81
HBLENGINE.NS,783.25,17.83,0.74,90.29,67.39,99.23,99.74,61.02,73.45,781.05,0.28,0.08,17.4,50.79,89.96,86.72,88.69,87.83
HCLTECH.NS,1450.2,11.01,-2.46,60.35,57.77,76.21,80.7,130.75,138.44,1442.0,0.94,0.64,4.23,44.81,74.55,90.82,108.74,107.68
HDFCAMC.NS,2662.2,21.78,-24.21,78.02,59.95,94.57,93.98,79.6,92.7,2655.6,-4.07,-1.76,35.7,46.91,52.96,47.82,107.98,104.86
HDFCBANK.NS,795.45,-15.35,-24.19,35.57,46.64,88.89,90.71,125.7,122.71,794.0,-2.99,-2.52,3.67,29.52,36.89,52.71,96.18,95.19
HDFCLIFE.NS,631.5,-13.67,-22.39,63.77,51.62,96.81,97.76,82.01,87.86,631.5,-2.04,-1.42,22.55,37.05,42.14,39.43,96.48,95.13
HFCL.NS,91.48,4.43,2.35,99.83,78.12,100.0,100.0,14.87,21.04,91.21,0.78,0.56,41.01,66.3,78.62,90.03,92.39,95.91
HAVELLS.NS,1291.1,-16.41,-28.05,88.88,52.15,97.74,97.0,97.92,95.88,1292.5,2.45,1.58,82.4,59.78,85.73,83.85,101.43,97.97
HEROMOTOCO.NS,5159.5,-52.54,-74.64,21.76,45.57,55.71,72.49,77.38,82.12,5169.0,-25.49,-31.47,83.67,42.09,96.1,89.86,99.03,100.53
HEXT.NS,496.45,-2.01,-13.53,91.38,60.04,95.43,95.43,42.73,74.87,494.5,2.46,3.11,4.44,52.31,25.01,50.94,98.35,97.78
HSCL.NS,488.85,6.27,1.34,85.12,65.04,97.94,97.44,37.08,46.49,488.0,0.56,0.85,42.79,51.53,56.01,58.35,100.79,99.91
HINDALCO.NS,1039.9,22.69,7.62,93.19,70.09,95.93,95.93,136.01,125.6,1039.9,4.16,5.82,73.01,61.52,2.26,0.84,100.51,99.38
HAL.NS,4363.4,57.09,-26.31,98.53,70.42,99.28,99.28,172.26,158.35,4363.4,21.84,24.6,90.73,66.94,85.91,64.06,98.4,99.64
HINDCOPPER.NS,563.75,3.02,-7.64,96.39,60.89,98.78,98.28,28.23,44.03,565.0,2.19,1.99,94.57,68.96,96.21,81.2,87.98,88.04
HINDPETRO.NS,370.25,-8.91,-16.17,80.83,52.51,93.08,91.29,60.82,67.17,370.55,0.89,1.02,62.59,59.34,69.12,65.56,93.1,90.9
HINDUNILVR.NS,2139.1,-23.43,-39.0,42.72,47.77,90.14,92.44,102.46,110.94,2140.0,-3.38,-4.07,67.22,46.62,98.31,89.71,99.76,98.73
HINDZINC.NS,592.5,0.66,-10.2,97.37,61.46,99.14,99.03,51.65,57.42,592.1,1.0,1.83,26.87,50.51,14.51,18.65,102.15,100.0
POWERINDIA.NS,28255.0,1125.62,846.61,59.96,69.87,94.27,96.9,57.81,59.5,28255.0,-25.4,-92.46,99.34,59.54,100.0,100.0,107.07,104.69
HOMEFIRST.NS,1108.0,9.48,-13.98,97.4,63.45,99.82,99.78,36.3,49.76,1108.0,1.73,1.49,72.21,56.57,82.64,76.68,106.65,105.21
HONASA.NS,344.95,14.17,8.66,83.76,73.59,95.03,97.05,28.4,38.55,344.0,0.81,0.1,37.54,58.7,82.8,92.02,101.85,101.67
HONAUT.NS,31840.0,-85.97,-661.83,99.6,67.26,100.0,100.0,82.67,82.59,31855.0,335.74,331.93,86.86,76.76,89.1,88.9,110.78,105.59
HUDCO.NS,193.67,1.91,-1.56,99.6,64.29,100.0,99.9,18.06,22.66,193.4,0.49,0.54,43.51,56.64,71.66,56.91,96.28,95.03
HYUNDAI.NS,1852.5,-75.78,-91.43,87.46,47.02,92.35,90.65,91.89,95.29,1851.1,18.31,14.69,25.45,71.61,73.41,86.11,100.67,99.56
ICICIBANK.NS,1345.5,3.09,-14.81,71.46,59.54,98.02,96.89,138.27,133.32,1345.5,-1.31,-0.83,49.65,46.54,57.99,59.14,100.78,99.75
ICICIGI.NS,1886.7,-8.15,-28.48,98.54,64.0,99.05,99.05,65.31,71.53,1883.0,7.34,10.32,17.8,54.31,9.72,10.42,100.21,98.14
ICICIPRULI.NS,557.95,-15.3,-22.67,71.93,48.32,98.27,99.26,79.05,85.08,555.8,-0.84,-0.32,3.84,34.87,25.46,35.57,100.28,99.56
IDBI.NS,74.34,-5.51,-7.49,76.98,41.88,99.58,98.85,14.67,22.6,74.37,0.02,-0.04,36.78,53.92,82.56,87.0,96.27,95.91
IDFCFIRSTB.NS,67.82,-1.09,-2.39,85.38,54.81,95.53,94.89,109.65,116.62,67.82,0.19,0.18,27.84,57.03,63.65,79.87,95.53,93.93
IFCI.NS,60.73,0.59,-0.45,95.86,63.98,97.69,97.69,9.42,16.39,60.93,0.56,0.3,86.0,77.22,91.93,93.48,97.79,97.24
IIFL.NS,466.05,-9.54,-14.35,69.94,50.54,92.7,90.56,37.45,37.76,467.0,0.08,0.29,61.03,51.56,69.27,71.3,83.6,88.0
IRB.NS,22.1,0.24,0.13,88.21,60.25,66.26,60.78,57.9,58.82,22.13,0.05,0.07,10.21,53.27,32.66,49.96,107.05,106.79
IRCON.NS,142.37,0.13,-2.91,92.24,60.02,98.2,97.82,10.37,18.48,142.41,0.38,0.39,62.93,57.87,86.82,72.36,88.94,90.74
ITCHOTELS.NS,161.92,-2.04,-4.93,89.27,55.92,98.86,98.92,74.65,90.64,161.94,0.04,0.12,53.69,50.74,60.35,48.88,103.47,98.81
ITC.NS,303.4,-2.33,-4.18,71.02,50.8,86.2,88.02,89.43,97.2,303.85,0.28,0.3,74.27,57.06,49.57,42.73,103.5,102.28
ITI.NS,291.04,5.4,0.51,63.22,59.95,85.4,87.84,4.02,9.08,292.1,-0.11,-0.28,93.19,58.95,98.12,78.18,85.65,87.46
INDGN.NS,489.15,7.19,1.87,45.14,57.6,90.53,94.4,86.7,84.03,489.15,-1.4,-1.23,80.59,44.78,64.33,47.07,105.86,106.83
INDIACEM.NS,411.6,0.17,-7.72,94.89,65.55,95.83,95.83,32.08,44.15,418.0,4.71,4.08,99.99,87.25,100.0,95.26,102.48,100.6
INDIAMART.NS,2155.7,0.59,-18.49,99.24,60.01,100.0,99.97,52.13,57.98,2145.0,6.03,7.24,12.29,50.15,50.04,51.46,107.42,104.85
INDIANB.NS,940.05,12.64,4.5,23.06,54.59,83.83,91.02,51.06,59.07,939.5,-1.54,-2.82,14.96,46.63,86.03,92.55,89.57,91.93
IEX.NS,134.41,2.43,0.8,94.29,65.3,97.61,97.61,60.62,63.23,134.72,0.3,0.16,99.28,70.5,100.0,80.25,106.71,103.9
INDHOTEL.NS,652.75,0.12,-8.58,87.51,58.12,97.37,96.42,153.56,152.04,654.1,1.39,1.0,94.05,66.07,98.07,91.85,91.26,92.34
IOC.NS,144.19,-4.48,-6.23,60.9,46.07,93.69,93.87,110.87,130.75,144.3,-0.1,-0.06,53.67,45.79,81.39,62.93,98.84,97.47
IOB.NS,34.93,0.18,-0.2,65.14,57.27,95.82,95.95,13.39,18.43,35.0,-0.02,-0.02,60.24,47.54,41.03,40.29,99.88,98.87
IRCTC.NS,553.8,-5.19,-12.97,87.62,55.71,97.38,96.36,80.78,81.42,554.7,0.29,0.14,83.0,59.03,92.97,78.66,99.33,99.33
IRFC.NS,103.24,-0.26,-1.99,90.08,59.06,97.25,96.97,35.28,39.77,103.6,0.26,0.28,87.07,62.11,83.21,58.4,91.54,92.94
IREDA.NS,129.43,1.64,-0.32,97.98,65.21,99.14,99.14,37.72,46.67,129.43,0.56,0.58,41.47,61.4,80.97,70.29,95.3,96.99
IGL.NS,166.05,0.21,-2.43,99.35,62.57,100.0,100.0,40.22,49.62,166.37,0.15,0.04,68.92,59.95,76.6,86.92,98.76,98.04
INDUSTOWER.NS,413.15,-4.27,-4.25,4.24,39.02,41.45,67.9,59.34,64.76,413.0,-2.25,-2.41,7.56,29.31,44.12,59.46,92.03,96.08
INDUSINDBK.NS,847.9,-11.27,-21.15,83.31,53.05,95.58,92.93,71.06,77.84,847.9,2.31,2.76,13.27,52.97,35.04,63.74,93.54,94.42
NAUKRI.NS,1047.7,-5.35,-16.83,91.96,57.89,82.55,68.17,66.67,74.44,1047.7,4.66,3.95,99.06,71.83,100.0,97.29,104.85,102.74
INFY.NS,1319.2,-6.18,-15.37,74.89,52.02,55.71,56.51,93.43,109.46,1319.2,1.64,1.69,96.38,60.52,94.46,70.36,96.21,98.31
INOXWIND.NS,95.4,0.35,-2.12,98.57,63.88,100.0,99.26,26.86,40.42,95.66,0.48,0.5,81.48,64.85,76.75,57.17,96.72,97.96
INTELLECT.NS,698.95,-4.22,-13.85,79.31,55.3,89.22,86.39,17.24,24.97,698.0,2.43,3.49,9.63,54.12,54.86,56.48,101.22,99.11
INDIGO.NS,4608.7,17.52,-52.02,64.38,55.8,88.74,87.0,135.81,131.88,4608.7,-5.24,0.04,14.12,40.29,9.3,14.33,99.77,98.34
IGIL.NS,368.95,6.4,2.4,97.27,69.41,94.98,92.8,55.09,71.54,367.2,3.99,4.04,23.27,63.21,71.01,72.36,83.82,85.3
IKS.NS,1522.4,22.33,-6.0,73.86,62.87,88.95,92.72,43.8,60.14,1520.0,0.26,-0.03,21.54,49.25,68.0,80.33,99.82,99.73
IPCALAB.NS,1461.4,-15.91,-7.48,49.2,42.43,16.93,13.19,34.99,45.25,1468.0,-0.18,-0.37,76.67,54.96,53.67,62.76,84.1,87.08
JBCHEPHARM.NS,1975.0,-17.09,-7.93,26.47,42.99,37.8,35.83,56.11,63.4,1975.0,-2.05,-3.94,95.98,49.19,100.0,100.0,98.96,98.46
JKCEMENT.NS,5507.0,40.58,-14.78,57.51,55.06,66.17,78.14,59.14,66.31,5505.0,10.18,3.99,23.15,58.09,90.9,95.69,98.86,97.45
JBMA.NS,624.1,19.24,10.04,66.45,63.36,97.97,99.32,8.51,20.12,626.0,-0.69,-1.01,99.3,54.84,96.43,78.32,75.48,78.54
JKTYRE.NS,419.95,-11.81,-18.96,37.13,46.82,82.87,88.33,37.54,45.22,419.8,-1.4,-1.59,34.42,38.83,80.69,61.15,91.56,92.17
JMFINANCIL.NS,134.67,1.91,-0.14,70.95,59.74,96.13,96.8,22.69,29.77,134.1,-0.06,-0.16,14.6,47.34,80.3,92.09,100.07,99.65
JSWENERGY.NS,535.95,7.02,2.88,95.79,64.96,99.38,81.68,44.97,46.48,535.95,1.85,0.57,90.65,69.48,98.02,95.54,104.66,101.77
JSWINFRA.NS,272.59,2.29,-1.03,87.11,60.39,95.34,95.34,51.09,66.79,273.8,0.75,0.51,99.91,70.31,100.0,100.0,99.27,98.67
JSWSTEEL.NS,1214.9,4.49,-6.67,61.91,56.55,94.56,95.7,75.32,74.55,1214.9,-1.68,-0.96,33.75,42.68,26.74,27.58,106.88,104.6
JPPOWER.NS,19.61,0.92,0.45,99.65,75.27,99.67,95.27,9.2,17.75,19.57,0.23,0.26,29.87,58.81,32.74,37.61,80.2,84.92
J&KBANK.NS,132.37,3.26,2.01,98.38,66.0,99.96,96.64,41.24,46.08,132.39,1.12,0.86,98.65,76.29,100.0,98.0,92.69,95.33
JINDALSAW.NS,221.42,7.59,4.63,99.28,69.64,100.0,100.0,57.59,64.53,221.75,1.07,0.83,98.75,70.43,100.0,93.35,93.28,94.13
JSL.NS,789.45,7.34,-2.68,83.59,61.32,91.25,91.84,140.82,155.14,788.85,2.37,2.22,39.78,58.01,81.63,78.05,99.34,98.65
JINDALSTEL.NS,1228.3,13.58,3.42,92.26,59.71,99.74,98.19,74.83,74.73,1228.3,0.7,1.04,15.26,48.75,72.44,70.8,105.56,102.46
JIOFIN.NS,241.27,-1.7,-3.62,51.23,50.35,77.8,78.44,57.26,61.8,241.57,-0.23,-0.49,83.09,55.97,97.99,97.96,103.63,102.15
JUBLFOOD.NS,459.65,-11.68,-15.52,84.25,49.9,96.27,92.35,44.68,49.3,459.2,1.5,1.46,46.07,60.22,71.58,71.8,98.01,96.66
JUBLINGREA.NS,667.8,17.48,5.54,88.68,67.48,96.36,96.39,29.29,35.15,667.8,0.46,0.42,33.81,52.55,84.42,82.41,105.53,101.12
JUBLPHARMA.NS,906.85,7.49,-2.91,99.64,62.11,100.0,100.0,51.43,61.82,906.85,2.09,0.96,23.88,54.35,70.16,84.81,90.69,92.66
JWL.NS,281.16,-1.17,-4.56,87.99,56.93,89.77,85.8,36.14,56.5,281.29,1.77,1.98,46.18,61.49,34.62,32.3,91.99,95.78
JYOTICNC.NS,702.9,-15.48,-12.19,18.99,39.16,9.37,40.24,49.53,61.52,703.0,0.18,-0.71,96.33,59.75,99.51,99.6,100.19,99.83
KPRMILL.NS,893.85,4.42,-4.79,59.42,58.35,91.68,95.9,18.48,29.71,892.95,-0.61,-0.5,23.18,45.81,73.68,75.84,101.03,99.66
KEI.NS,4647.4,21.84,-43.43,95.62,60.49,97.17,93.72,91.12,92.97,4658.0,8.34,8.44,83.03,58.95,82.42,68.12,101.66,101.25
KPITTECH.NS,746.25,-10.74,-27.11,93.25,56.21,96.05,94.45,53.65,66.02,747.6,3.95,3.25,68.51,65.55,70.26,80.79,101.93,103.09
KAJARIACER.NS,1170.2,52.56,28.95,99.72,74.65,100.0,100.0,53.97,63.1,1172.0,2.65,2.78,90.49,65.34,90.16,81.76,101.09,98.03
KPIL.NS,1203.9,18.89,2.74,70.87,62.02,95.01,96.5,51.71,54.07,1203.9,-0.22,-1.01,32.04,51.24,86.71,85.71,100.53,99.23
KALYANKJIL.NS,440.3,12.6,6.2,33.15,62.39,87.21,92.09,21.52,30.34,439.95,-0.23,-0.34,13.59,44.67,43.25,51.95,101.28,100.68
KARURVYSYA.NS,280.85,-4.95,-6.24,66.37,47.41,77.83,79.61,51.38,57.67,280.4,0.04,-0.09,11.24,46.66,69.7,84.21,100.48,96.93
KAYNES.NS,4202.2,77.4,12.52,96.95,65.81,97.1,94.69,76.24,87.85,4202.2,33.83,30.74,47.9,68.16,88.26,80.87,97.56,97.33
KEC.NS,569.45,-1.09,-7.79,68.58,53.78,83.02,86.74,18.34,24.84,569.45,0.4,0.62,4.93,47.33,12.96,30.15,88.33,90.77
KFINTECH.NS,955.9,-6.09,-13.58,90.08,55.88,91.53,84.77,23.17,31.35,955.9,4.45,4.84,46.25,62.9,71.91,64.5,110.19,105.26
KIRLOSENG.NS,1617.0,44.44,23.1,99.05,71.35,100.0,99.5,46.81,65.65,1617.0,11.45,13.97,27.06,51.68,8.17,38.5,99.41,97.58
KOTAKBANK.NS,379.15,-4.75,-8.6,58.22,50.74,90.88,88.2,119.04,123.12,378.8,-0.36,-0.04,1.94,37.17,15.52,29.02,98.97,97.63
KIMS.NS,665.15,-2.01,-6.2,73.53,53.38,94.33,93.66,70.28,80.24,665.15,-0.43,0.13,7.0,39.31,2.81,2.95,101.99,99.39
LTF.NS,280.41,0.83,-3.63,72.14,57.15,95.85,95.32,58.36,67.48,280.41,-0.31,-0.38,41.83,48.7,77.57,76.71,95.85,96.03
LTTS.NS,3448.2,5.85,-29.15,73.46,55.3,87.86,87.72,56.12,72.29,3450.0,-0.99,-1.09,82.82,50.82,100.0,88.89,93.05,96.01
LICHSGFIN.NS,534.85,5.69,1.69,78.11,59.16,90.31,91.42,113.88,98.48,536.0,1.18,1.09,79.42,63.57,78.32,68.54,106.96,104.62
LTFOODS.NS,419.15,5.57,1.05,90.04,60.89,96.52,95.61,49.73,66.05,419.15,1.48,1.1,43.69,63.33,81.81,84.83,91.72,92.21
